,University,Department,LW_Ratio,Academic_Year,Program_Year,Comments,PY_DR,Acad_Y,Overall_Pay_num,GrossPay_12M,GrossPay_9M,GrossPay_3M,GrossPay_sumOf3,Dep_DR,Dep_DR_top14,GP9_binary,MissingFees_DR,Fees_correct
0,University of Tennessee - Knoxville,Economics ,0.09,2020-2021,1st,,1,2020,1850,0,1850,0,1850,BusinessAndManagement,BusinessAndManagement,low,0,0
1,University of Arizona (U of A),Economics,1.01,2020-2021,1st,$10500 per semester. RA/TA required. Need to pay ~$600 per semester.,1,2020,21000,0,21000,0,21000,BusinessAndManagement,BusinessAndManagement,high,0,0
2,University of Arizona (U of A),Economics,0.96,2020-2021,1st,,1,2020,19800,0,21000,0,21000,BusinessAndManagement,BusinessAndManagement,high,1200,1200
4,University of Virginia (UVA),ECE,1.14,2020-2021,1st,,1,2020,26000,26000,0,0,26000,ECE,Other,low,0,0
6,Washington University in St. Louis (Wash U),olin,1.69,2020-2021,1st,,1,2020,35000,35000,0,0,35000,olin,Other,low,0,0
7,University of Tennessee - Knoxville,Economics,0.87,2020-2021,1st,,1,2020,18500,0,18500,0,18500,BusinessAndManagement,BusinessAndManagement,high,0,0
8,New York University (NYU),Computer Science ,1.1,2020-2021,1st,,1,2020,32851,0,32851,0,32851,MathematicsAndComputer Science,MathematicsAndComputer Science,high,0,0
9,New York University (NYU),Sociology,1.13,2020-2021,1st,,1,2020,33500,0,30000,3500,33500,HistPolSoc,HistPolSoc,high,0,0
11,Wright State University (WSU),BMS,1.07,2020-2021,1st,,1,2020,21157,23157,0,0,23157,BMS,Other,low,2000,2000
12,Middle Tennessee State University (MTSU),LTS,0.3,2020-2021,1st,,1,2020,7000,7000,0,0,7000,LTS,Other,low,0,0
13,Washington University in St. Louis (Wash U),Imaging Science in Engineering,1.5,2020-2021,1st,Also received an enhancement to monthly base support to cover student health fee charges.,1,2020,31000,31000,0,0,31000,Imaging Science in Engineering,Other,low,0,0
15,University of Delaware (UD),Geography & Spatial Sciences,1.06,2020-2021,2nd,,2,2020,27000,0,22000,5000,27000,Geography & Spatial Sciences,Other,high,0,0
17,Yale University (YU),Classics,1.32,2020-2021,1st,"Health insurance included. I also receive an additional scholarship of $3,000 for the first 3 years of PhD plus a $2,000 research award for conference or fieldwork expenses.",1,2020,32700,32700,0,0,32700,ArtsAndTheology,ArtsAndTheology,low,0,0
18,Tufts University (TU),Molecular Microbiology,1.26,2020-2021,2nd,,2,2020,35250,35500,0,0,35500,Molecular Microbiology,Other,low,250,250
20,Cornell University (CU),Neuroscience,1.74,2020-2021,2nd,,2,2020,42230,42230,0,0,42230,Medical,Medical,low,0,0
22,Massachusetts Institute of Technology (MIT),Chemical Engineering,1.55,2020-2021,3rd,,3,2020,43380,43380,0,0,43380,Engineering,Engineering,low,0,0
23,University of California - Berkeley,Psychology,1.04,2020-2021,1st,,1,2020,29000,29000,0,0,29000,HistPolSoc,HistPolSoc,low,0,0
24,Rutgers the State University of New Jersey - New Brunswick,Linguistics,1.04,2019-2020,1st,,1,2019,26800,0,25000,2000,27000,LinguisticsAndCommunication,LinguisticsAndCommunication,high,200,200
25,University of North Carolina - Greensboro (UNCG),Communication Sciences and Disorders,0.47,2020-2021,4th,,4,2020,10000,0,10000,0,10000,LinguisticsAndCommunication,LinguisticsAndCommunication,high,0,0
26,University of North Carolina - Greensboro (UNCG),Communication Sciences and Disorders,0.47,2020-2021,4th,I have a master#,4,2020,10000,0,10000,0,10000,LinguisticsAndCommunication,LinguisticsAndCommunication,high,0,0
27,Duke University (DU),Biomedical Engineering ,1.25,2019-2020,4th,,4,2019,27700,28500,0,0,28500,Engineering,Engineering,low,800,800
28,University of Wisconsin - Madison (UW),Computer Science,1.18,2020-2021,2nd,,2,2020,27000,27000,0,0,27000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0
29,University of Texas - Dallas (UTD),Psychological Sciences,0.86,2017-2018,5th,,5,2017,18600,18600,0,0,18600,Psychological Sciences,Other,low,0,0
30,University of Wisconsin - Milwaukee (UWM),English,0.61,2020-2021,5th,,5,2020,13000,0,15000,0,15000,LinguisticsAndCommunication,LinguisticsAndCommunication,high,2000,2000
31,University of North Carolina - Chapel Hill (UNC),Musicology,0.81,2020-2021,3rd,,3,2020,18000,0,18000,0,18000,ArtsAndTheology,ArtsAndTheology,high,0,0
32,Cornell University (CU),Microbiology,1.44,2020-2021,3rd,,3,2020,34958,35000,0,0,35000,Biology,Biology,low,42,42
33,University of Wisconsin - Madison (UW),Anthropology ,0.88,2020-2021,4th,,4,2020,20100,0,21000,0,21000,Anthropology ,Other,high,900,900
34,Columbia University (CU),Neurobiology and Behavior,1.72,2020-2021,5th,,5,2020,51000,51000,0,0,51000,Neurobiology and Behavior,Other,low,0,0
35,Colorado State University (CSU),Mathematics,0.85,2019-2020,1st,"9 month is with a teaching assistantship, summer is an RA",1,2019,19200,0,18000,4200,22200,MathematicsAndComputer Science,MathematicsAndComputer Science,high,3000,3000
36,University of Alabama - Birmingham (UAB),GBS,1.44,2020-2021,5th,,5,2020,31000,31000,0,0,31000,GBS,Other,low,0,0
38,University of Virginia (UVA),Economics ,0.99,2019-2020,1st,,1,2019,22500,28500,0,0,28500,BusinessAndManagement,BusinessAndManagement,low,6000,6000
40,University of California - San Diego (UCSD),Language and Communicative Disorders,0.87,2019-2020,1st,,1,2019,23000,23000,0,0,23000,Language and Communicative Disorders,Other,low,0,0
41,University of Wisconsin - Madison (UW),Microbiology Doctoral Training Program,1.24,2020-2021,4th,,4,2020,28400,29000,0,0,29000,Microbiology Doctoral Training Program,Other,low,600,600
42,University of Utah,Mathematics,1.17,2020-2021,1st,,1,2020,26000,0,21000,5000,26000,MathematicsAndComputer Science,MathematicsAndComputer Science,high,0,0
43,University of Iowa (UI),Department of Anthropology ,0.9,2020-2021,3rd,"Required fees tend to vary. For anthropology courses its cheaper, but taking biology courses will be a higher fee. ",3,2020,20064,0,20064,0,20064,Department of Anthropology ,Other,high,0,0
44,University of California - Santa Cruz,EPS,0.78,2020-2021,4th,,4,2020,21000,0,21000,0,21000,EPS,Other,high,0,0
45,Columbia University (CU),Counseling Psychology,0.83,2020-2021,1st,,1,2020,24766,25000,0,0,25000,Counseling Psychology,Other,low,234,234
47,University of Notre Dame (ND),English ,0.22,2015-2016,5th,,5,2015,4400,0,1900,2500,4400,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0
49,University of California - Berkeley,Chemistry,1.3,2017-2018,1st,"TA stipend paid on top of extental fellowship, amounts to ~10K bonus",1,2017,36000,36000,0,0,36000,Chemistry,Chemistry,low,0,0
52,Case Western Reserve University,BSTP,1.5,2019-2020,1st,Can waive healthcare fee if already covered. Tuition covered thru BSTP PhD program. ,1,2019,30000,30000,0,0,30000,BSTP,Other,low,0,0
54,University of Pennsylvania,Biochemistry and Molecular Biology,1.41,2020-2021,2nd,,2,2020,34000,34000,0,0,34000,Biochemistry and Molecular Biology,Other,low,0,0
56,Harvard University (HU),Systems Biology,1.41,2020-2021,2nd,"Healthcare, gym membership, tuition, $1000 move-in stipend, all included.",2,2020,40500,40500,0,0,40500,Systems Biology,Other,low,0,0
57,University of Maryland - College Park (UMD),"Applied Mathematics & Statistics, Scientific Computation (AMSC)",0.64,2020-2021,2nd,"The amount for required fees is yearly, but it is billed as $815 per semester. The first two years of the program, nearly everyone is awarded a $5,000 yearly fellowship, which is not included in the gross pay above. It expires after the first two years.",2,2020,19277,0,20907,0,20907,"Applied Mathematics & Statistics, Scientific Computation (AMSC)",Other,high,1630,1630
58,University of Georgia (UGA),Pharmaceutical and Biomedical Sciences,1.21,2019-2020,1st,,1,2019,25600,29150,0,0,29150,Pharmaceutical and Biomedical Sciences,Other,low,3550,3550
59,Cornell University (CU),Biophysics,1.52,2020-2021,2nd,Very comfortable stipend compared to the cost of living in Ithaca ,2,2020,36900,37000,0,0,37000,PhysicsAndAstronomy,PhysicsAndAstronomy,low,100,100
60,Emory University,Cancer Biology,1.33,2019-2020,1st,,1,2019,31000,31000,0,0,31000,Biology,Biology,low,0,0
61,University of Hawaii - Manoa (UH),Earth Sciences,1.02,2018-2019,4th,,4,2018,31200,32000,0,0,32000,Earth Sciences,Other,low,800,800
64,Brandeis University,Neuroscience,1.25,2020-2021,1st,,1,2020,35000,35000,0,0,35000,Medical,Medical,low,0,0
65,Indiana University,Anthropology ,0.73,2020-2021,4th,,4,2020,15745,0,15745,0,15745,Anthropology ,Other,high,0,0
67,Northwestern University (NU),Anthropology,1.23,2020-2021,4th,24k after taxes,4,2020,29780,30280,0,0,30280,Biology,Biology,low,500,500
68,Marquette University,philosphy,0.79,2020-2021,6th and up,,6,2020,16900,0,17100,0,17100,philosphy,Other,high,200,200
69,Virginia Commonwealth University (VCU),Biomedical Engineering ,1.09,2020-2021,5th,1000 pay raise after PhD Candidacy ,5,2020,27000,27000,0,0,27000,Engineering,Engineering,low,0,0
73,Gallaudet University,Clinical psychology PhD,0.17,2020-2021,2nd,,2,2020,5400,6000,0,0,6000,Clinical psychology PhD,Other,low,600,600
74,Illinois State University (ISU),business,0.09,2020-2021,1st,,1,2020,2000,2000,0,0,2000,business,Other,low,0,0
75,University of Nebraska - Lincoln (NU),Communication Studies,0.81,2019-2020,4th,,4,2019,15800,16800,0,0,16800,Communication Studies,Other,low,1000,1000
76,University of Kansas (KU),CS/PhD,0.93,2020-2021,2nd,,2,2020,19000,20000,0,0,20000,CS/PhD,Other,low,1000,1000
77,Purdue University - West Lafayette,Communication ,1.21,2020-2021,1st,Compensated for teaching a 2-2 course load. ,1,2020,25500,0,25500,0,25500,LinguisticsAndCommunication,LinguisticsAndCommunication,high,0,0
78,Case Western Reserve University,Sociology ,0.93,2011-2012,3rd,,3,2011,16000,0,16000,0,16000,HistPolSoc,HistPolSoc,high,0,0
79,Case Western Reserve University,Sociology ,1.05,2010-2011,2nd,,2,2010,18000,0,18000,0,18000,HistPolSoc,HistPolSoc,high,0,0
80,Case Western Reserve University,Sociology ,1.05,2009-2010,1st,,1,2009,18000,0,18000,0,18000,HistPolSoc,HistPolSoc,high,0,0
81,Duke University (DU),Computational Biology and Biology,1.44,2020-2021,3rd,,3,2020,32000,32000,0,0,32000,Computational Biology and Biology,Other,low,0,0
82,University of California - Davis (UCD),Philosophy,0.91,2020-2021,1st,"My total package with tuition remission is $40,422 with a 3% increase per year",1,2020,21900,0,21900,0,21900,ArtsAndTheology,ArtsAndTheology,high,0,0
83,University of Southern California (USC),Biology,1.35,2020-2021,3rd,,3,2020,35000,35000,0,0,35000,Biology,Biology,low,0,0
85,Harvard University (HU),Engineering ,1.26,2020-2021,1st,,1,2020,36000,36000,0,0,36000,Engineering ,Other,low,0,0
87,Kent State University (KSU),Sociology,0.91,2020-2021,1st,,1,2020,18000,0,18000,0,18000,HistPolSoc,HistPolSoc,high,0,0
90,Georgia Institute of Technology (Georgia Tech),BME,1.23,2020-2021,3rd,,3,2020,28700,31500,0,0,31500,BME,Other,low,2800,2800
92,Tennessee State University (TSU),Biology,0.65,2020-2021,4th,,4,2020,15000,24000,0,0,24000,Biology,Biology,low,9000,9000
93,Florida Atlantic University (FAU),Integrative Biology,0.96,2020-2021,3rd,,3,2020,23000,24000,0,0,24000,Integrative Biology,Other,low,1000,1000
94,San Diego State University (SDSU),Computational Science,0.94,2020-2021,1st,"University Fellowship. Not sure if you can earn more by TAing during the summer, but you probably can. Not likely to accept my offer, though.",1,2020,25000,25000,0,0,25000,Computational Science,Other,low,0,0
99,University of Alabama - Huntsville (UAH),Space Sciences,0.69,2018-2019,1st,,1,2018,14700,0,14700,0,14700,Space Sciences,Other,high,0,0
100,University of Louisville (U of L),College of Education and Human Development ,1.16,2020-2021,1st,,1,2020,24000,24000,0,0,24000,College of Education and Human Development ,Other,low,0,0
101,University of Missouri (MU),Accounting,1.26,2020-2021,1st,"Also pays for a computer, health care and additional fund of $1500 for travel",1,2020,25900,25900,0,0,25900,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0
102,Ohio State University (OSU),Neuroscience ,1.38,2017-2018,6th and up,,6,2017,27600,27600,0,0,27600,Medical,Medical,low,0,0
106,Indiana University,Mathematics,0.91,2020-2021,4th,"$18,600 for 9 months. Summer pay is in the range $1,000 ~ $4,000 depending on the job that you get.  Mandatory fees are about $900 per semester. Prior to 2020/2021 school year you also had to pay 5.5% of the tuition (that is about $550 for international students)",4,2020,19630,0,18600,1030,19630,MathematicsAndComputer Science,MathematicsAndComputer Science,high,0,0
107,Stanford University (SU),Geophysics,1.69,2020-2021,1st,,1,2020,48636,48636,0,0,48636,Geophysics,Other,low,0,0
108,Columbia University (CU),Graduate School of Arts and Sciences,1.38,2020-2021,1st,"Dean's Fellow, includes health insurance, guarantee graduate housing in lower rate around university. ",1,2020,41000,41000,0,0,41000,Graduate School of Arts and Sciences,Other,low,0,0
109,Massachusetts Institute of Technology (MIT),Mechanical,1.32,2020-2021,1st,,1,2020,36984,36984,0,0,36984,Mechanical,Other,low,0,0
110,Vanderbilt University,English,1.13,2020-2021,3rd,,3,2020,26000,26000,0,0,26000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0
112,Carnegie Mellon University (CMU),Robotics Institute,1.74,2020-2021,1st,,1,2020,36000,36000,0,0,36000,Robotics Institute,Other,low,0,0
113,University of Illinois - Chicago (UIC),Chemistry ,1.09,2020-2021,4th,Fees are 50% less if you use your own healthcare provider.,4,2020,26400,28800,0,0,28800,Chemistry,Chemistry,low,2400,2400
114,Florida State University (FSU),College of Communication and Infromation,0.68,2020-2021,1st,,1,2020,15857,0,14112,2520,16632,College of Communication and Infromation,Other,high,775,775
116,Cornell University (CU),Neuroscience,1.72,2020-2021,5th,fees for insurance premiums,5,2020,41800,42000,0,0,42000,Medical,Medical,low,200,200
117,Uniformed Services University of the Health Sciences,Clinical Psychology,1.12,2020-2021,2nd,"Pay includes subway and books. University does not reimburse fully for health insurance (will cost ~$320/month), no annual pay increases, not allowed to get outside employment or take loans, no additional stipends allowed.",2,2020,33790,33790,0,0,33790,Medical,Medical,low,0,0
118,University of Southern California (USC),Neurobiology,1.3,2020-2021,4th,,4,2020,33520,34000,0,0,34000,Neurobiology,Other,low,480,480
120,Scripps Research Institute (SRI),Chemistry,1.17,2019-2020,5th,,5,2019,31000,31000,0,0,31000,Chemistry,Chemistry,low,0,0
121,The Catholic University of America,Physics,0.87,2020-2021,4th,,4,2020,26750,27000,0,0,27000,PhysicsAndAstronomy,PhysicsAndAstronomy,low,250,250
122,University of Illinois - Chicago (UIC),Biological Sciences,1.04,2019-2020,3rd,"This is for a 50% TA ship during the fall and spring semester, and a 67% TA position during the second summer term. Fees do not include the campus care insurance fee, which would be another $1,350 a year. In my program support is guaranteed for 5-years through TA positions during the year. Summer support is not guaranteed, but so far I have had summer support every year.  ",3,2019,25203,0,20426,6083,26509,Biology,Biology,high,1306,1306
123,West Virginia University (WVU),Physics,0.97,2020-2021,1st,,1,2020,21750,24500,0,0,24500,PhysicsAndAstronomy,PhysicsAndAstronomy,low,2750,2750
124,Tulane University (TU),French,0.95,2019-2020,3rd,,3,2019,22000,0,22000,0,22000,LinguisticsAndCommunication,LinguisticsAndCommunication,high,0,0
125,Pennsylvania State University (Penn State),Sociology,0.89,2016-2017,1st,,1,2016,20000,20000,0,0,20000,HistPolSoc,HistPolSoc,low,0,0
126,Pennsylvania State University (Penn State),Chemical engineering ,1.57,2020-2021,1st,,1,2020,35310,35310,0,0,35310,Chemical engineering ,Other,low,0,0
129,University at Buffalo - SUNY,chemistry,1.24,2020-2021,1st,,1,2020,26000,0,23000,3000,26000,Chemistry,Chemistry,high,0,0
130,University of Utah,Computer Science,1.7,2020-2021,2nd,,2,2020,37875,37875,0,0,37875,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0
131,University at Buffalo - SUNY,Computer Science and Engineering,1.25,2020-2021,1st,,1,2020,26200,0,20200,6000,26200,Computer Science and Engineering,Other,high,0,0
134,Pennsylvania State University (Penn State),Biomedical Sciences,1.36,2020-2021,3rd,,3,2020,30500,30500,0,0,30500,Medical,Medical,low,0,0
136,University of Houston (UH),Chemical Engineering,1.37,2020-2021,1st,,1,2020,30000,30000,0,0,30000,Engineering,Engineering,low,0,0
138,Stanford University (SU),Civil and Environmental Engineering,1.5,2019-2020,3rd,,3,2019,43228,46696,0,0,46696,Engineering,Engineering,low,3468,3468
139,Stony Brook University - SUNY,Chemistry,1.24,2020-2021,1st,,1,2020,34600,0,34600,0,34600,Chemistry,Chemistry,high,0,0
140,University of Michigan - Ann Arbor (UM),Neuroscience,1.42,2020-2021,2nd,,2,2020,32739,32739,0,0,32739,Medical,Medical,low,0,0
141,Pennsylvania State University (Penn State),Statistics,1.65,2019-2020,1st,(on a first-year fellowship which offers a higher stipend rate),1,2019,37000,37000,0,0,37000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0
142,University of Texas - Austin (UT),Anthropology,0.07,2020-2021,6th and up,,6,2020,1600,0,1600,0,1600,Biology,Biology,low,0,0
143,University of Arkansas - Little Rock (UALR),Computer Science,0.86,2020-2021,1st,,1,2020,18000,18000,0,0,18000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0
145,University of Arkansas - Little Rock (UALR),Computer Science,0.07,2020-2021,1st,,1,2020,1500,1500,0,0,1500,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0
146,University of Texas Southwestern Medical Center - Dallas,Applied Clinical Research,1.62,2020-2021,1st,,1,2020,35000,35000,0,0,35000,Applied Clinical Research,Other,low,0,0
147,Pennsylvania State University (Penn State),English,1.34,2020-2021,1st,,1,2020,30000,30000,0,0,30000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0
149,Pennsylvania State University (Penn State),Chemical Engineering,1.44,2020-2021,1st,,1,2020,32300,32300,0,0,32300,Engineering,Engineering,low,0,0
154,University of California - San Diego (UCSD),Computer Science,1.21,2020-2021,1st,,1,2020,32000,32000,0,0,32000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0
155,University of California - San Diego (UCSD),Computer science,0.91,2020-2021,1st,,1,2020,24000,0,24000,0,24000,Computer science,Other,high,0,0
157,Massachusetts Institute of Technology (MIT),Physics ,1.47,2020-2021,2nd,,2,2020,41156,41496,0,0,41496,PhysicsAndAstronomy,PhysicsAndAstronomy,low,340,340
158,Harvard University (HU),Applied Physics,1.36,2020-2021,1st,,1,2020,38916,38916,0,0,38916,PhysicsAndAstronomy,PhysicsAndAstronomy,low,0,0
159,University of Texas Health Science Center - San Antonio,IBMS,1.44,2020-2021,1st,,1,2020,30000,30000,0,0,30000,IBMS,Other,low,0,0
162,Case Western Reserve University,Molecular Medicine,1.63,2020-2021,1st,Includes $2500 move in fee,1,2020,32500,32500,0,0,32500,Molecular Medicine,Other,low,0,0
163,Stony Brook University - SUNY,English,0.9,2020-2021,3rd,,3,2020,25200,0,21200,4000,25200,LinguisticsAndCommunication,LinguisticsAndCommunication,high,0,0
164,Princeton University,"Department of Music, Musicology",1.35,2020-2021,1st,,1,2020,34250,34250,0,0,34250,"Department of Music, Musicology",Other,low,0,0
165,Indiana University,Earth and atmospheric science,0.94,2020-2021,1st,,1,2020,20200,20200,0,0,20200,Earth and atmospheric science,Other,low,0,0
166,Johns Hopkins University (JHU),Earth and Planetary Science,1.3,2019-2020,1st,"$2000 one time bonus upon enrollment. To be used for education/research/moving related expenses.
Funding is fixed through all years in the program.
Funding is guaranteed by department for 4 years. However, students can almost always obtain funding for additional years of study as necessary.",1,2019,33333,33333,0,0,33333,Earth and Planetary Science,Other,low,0,0
167,Princeton University,Molecular Biology,1.38,2020-2021,1st,,1,2020,35036,37104,0,0,37104,Biology,Biology,low,2068,2068
168,Virginia Commonwealth University (VCU),Biomedical Sciences Doctoral Portal,1.21,2020-2021,1st,,1,2020,30000,30000,0,0,30000,Biomedical Sciences Doctoral Portal,Other,low,0,0
169,Harvard University (HU),Biological Sciences in Public Health,1.42,2020-2021,1st,Gross Pay is before Taxes. so After taxes roughly 2918 per month ,1,2020,40560,40560,0,0,40560,Biological Sciences in Public Health,Other,low,0,0
172,Carnegie Mellon University (CMU),Materials Science and Engineering,1.36,2020-2021,1st,,1,2020,28050,28050,0,0,28050,Engineering,Engineering,low,0,0
174,University of South Carolina (USC),Chemistry and Biochemistry,1.11,2020-2021,1st,,1,2020,25000,26000,0,0,26000,Chemistry,Chemistry,low,1000,1000
175,University of Texas - Dallas (UTD),Mechanical Engineering,0.09,2020-2021,1st,,1,2020,1850,1850,0,0,1850,Engineering,Engineering,low,0,0
176,University of Delaware (UD),Materials Science and Engineering,1.05,2020-2021,3rd,,3,2020,26750,28250,0,0,28250,Engineering,Engineering,low,1500,1500
177,University of Utah,Computer Science,1.61,2020-2021,2nd,"RA is double paid in summer, so it's a 15-month salary",2,2020,35841,35841,0,0,35841,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0
178,Case Western Reserve University,Molecular medicine ,1.63,2020-2021,1st,,1,2020,32500,32500,0,0,32500,Molecular medicine ,Other,low,0,0
179,University of Virginia (UVA),Economics,1.05,2020-2021,1st,,1,2020,24000,24000,0,0,24000,BusinessAndManagement,BusinessAndManagement,low,0,0
180,University of California - San Francisco (UCSF),biomedical sciences,1.38,2020-2021,1st,,1,2020,41200,41200,0,0,41200,biomedical sciences,Other,low,0,0
181,University of South Florida (UCF),Psychology,0.77,2020-2021,3rd,,3,2020,16831,0,17831,0,17831,HistPolSoc,HistPolSoc,high,1000,1000
182,Arizona State University (ASU),History,0.84,2020-2021,1st,,1,2020,18564,0,18564,0,18564,HistPolSoc,HistPolSoc,high,0,0
183,Virginia Tech,Aerospace Engineering,1.14,2020-2021,1st,,1,2020,24000,24000,0,0,24000,Engineering,Engineering,low,0,0
185,University of Hawaii - Manoa (UH),Astronomy,1.05,2020-2021,5th,,5,2020,32100,33000,0,0,33000,PhysicsAndAstronomy,PhysicsAndAstronomy,low,900,900
186,Georgia Institute of Technology (Georgia Tech),Chemical Engineering,1.16,2020-2021,1st,"I received a wavier of standard out of state tuition but must pay a reduced matriculation fee of 25 per semester along with all assessed fee ($1,012 per term). I need to pay for health insurance roughly $700 per year .",1,2020,27080,30180,0,0,30180,Engineering,Engineering,low,3100,3100
187,Georgia State University (GSU),information system,1.12,2020-2021,1st,,1,2020,26000,30000,0,0,30000,information system,Other,low,4000,4000
189,Pennsylvania State University (Penn State),Plant pathology,1.24,2020-2021,1st,,1,2020,27900,27900,0,0,27900,Plant pathology,Other,low,0,0
190,University of Illinois - Chicago (UIC),GEMS,1.3,2020-2021,1st,,1,2020,31620,31620,0,0,31620,GEMS,Other,low,0,0
191,New York University (NYU),Economics,1.28,2020-2021,1st,,1,2020,38000,0,29500,8500,38000,BusinessAndManagement,BusinessAndManagement,high,0,0
192,Vanderbilt University,Mechanical Engineering,1.31,2020-2021,3rd,"I am a 3rd year grad student, but the salary I listed is valid for all years (we do not receive milestone raises).  Nashville is expensive, but I find that the after tax revenue is enough to live alone near campus (I walk to work) and still save money.  This could change, of course, depending on each persons required monthly expenses.  Additionally, health insurance has always been included in the TA/RA offer.  We do not receive vision or dental, but they are both available for a low price ($11 per month for vision for me, and Vanderbilt has a student discount with local dentists such that cleanings can be easily afforded out of pocket).  ",3,2020,30000,30000,0,0,30000,Engineering,Engineering,low,0,0
193,Vanderbilt University,Biological Science ,1.39,2020-2021,1st,,1,2020,32000,32000,0,0,32000,Biological Science ,Other,low,0,0
195,University of Southern California (USC),Communication,1.16,2020-2021,1st,,1,2020,30000,0,27000,3000,30000,LinguisticsAndCommunication,LinguisticsAndCommunication,high,0,0
196,University of North Carolina - Chapel Hill (UNC),"Biology - Ecology, Evolution, and Organismal Biology",0.88,2020-2021,3rd,Before taxes,3,2020,19500,0,19500,0,19500,"Biology - Ecology, Evolution, and Organismal Biology",Other,high,0,0
197,University of Nevada - Reno (UNR),NRES,1.06,2020-2021,1st,,1,2020,22200,22200,0,0,22200,NRES,Other,low,0,0
198,University of Texas - Dallas (UTD),Mechanical engineering,0.09,2020-2021,1st,per month. elgible for health insurance starting second semester. ,1,2020,1850,0,1850,0,1850,Engineering,Engineering,low,0,0
199,University of Maryland - Baltimore (UMB),Pharmaceutical Health Services Research (PHSR) ,0.97,2020-2021,2nd,,2,2020,25000,25000,0,0,25000,Pharmaceutical Health Services Research (PHSR) ,Other,low,0,0
200,University of Utah,bioscience,1.31,2020-2021,1st,,1,2020,29130,29130,0,0,29130,bioscience,Other,low,0,0
201,University of California - Irvine (UCI),Mathematics,0.74,2019-2020,2nd,,2,2019,21746,0,21906,0,21906,MathematicsAndComputer Science,MathematicsAndComputer Science,high,160,160
202,New York University (NYU),MEIS,0.97,2020-2021,3rd,"When teaching, graduate workers get an additional ~6k per semester. Teaching positions are limited and not available all years. ",3,2020,28850,0,28850,0,28850,MEIS,Other,high,0,0
203,University of California - Los Angeles (UCLA),Linguistics,1.37,2020-2021,6th and up,,6,2020,35500,0,29000,6500,35500,LinguisticsAndCommunication,LinguisticsAndCommunication,high,0,0
204,University of California - Santa Cruz,Film and Digital Media,0.81,2020-2021,4th,the number entered is before taxes,4,2020,21906,0,21906,0,21906,Film and Digital Media,Other,high,0,0
205,Massachusetts Institute of Technology (MIT),Urban Studies and Planning,1.18,2020-2021,1st,,1,2020,33000,0,33000,0,33000,Urban Studies and Planning,Other,high,0,0
206,University of Georgia (UGA),Education ,1.13,2020-2021,1st,,1,2020,24000,24000,0,0,24000,Education,Education,low,0,0
207,Princeton University,Geosciences,1.64,2020-2021,1st,,1,2020,41800,41800,0,0,41800,Geography,Geography,low,0,0
208,University of Tennessee Health Science Center,Biomedical Sciences,1.25,2020-2021,1st,,1,2020,28000,28000,0,0,28000,Medical,Medical,low,0,0
209,Virginia Commonwealth University (VCU),Medicinal Chemistry Department,1.1,2020-2021,3rd,"State wages complete to $23,860.57 (based of W2 earnings for 2019).",3,2020,27418,29000,0,0,29000,Medicinal Chemistry Department,Other,low,1582,1582
210,University of California - San Diego (UCSD),Psychology,1.44,2020-2021,6th and up,,6,2020,38000,0,29000,9000,38000,HistPolSoc,HistPolSoc,high,0,0
211,University of Texas - Austin (UT),Physics,1.26,2020-2021,1st,,1,2020,28654,28654,0,0,28654,PhysicsAndAstronomy,PhysicsAndAstronomy,low,0,0
212,University of Alabama - Huntsville (UAH),Electrical And Computer Engineering,0.7,2019-2020,1st,,1,2019,14867,14867,0,0,14867,Electrical And Computer Engineering,Other,low,0,0
213,Wright State University (WSU),Biomedical Science,0.97,2020-2021,2nd,,2,2020,19175,23175,0,0,23175,Biomedical Science,Other,low,4000,4000
214,Stanford University (SU),Theater and Performance Studies,1.26,2020-2021,1st,Additional summer funding for the first two years. ,1,2020,36300,36300,0,0,36300,Theater and Performance Studies,Other,low,0,0
215,Southern Methodist University (SMU),Engineering,1.11,2020-2021,1st,,1,2020,24000,24000,0,0,24000,Engineering,Engineering,low,0,0
216,Southern Methodist University (SMU),Enginering,0.05,2020-2021,1st,,1,2020,1000,2000,0,0,2000,Enginering,Other,low,1000,1000
219,Georgia Institute of Technology (Georgia Tech),Machine Learning PhD Program (Home Dept: ECE),1.09,2020-2021,4th,,4,2020,25400,29000,0,0,29000,Machine Learning PhD Program (Home Dept: ECE),Other,low,3600,3600
220,Johns Hopkins University (JHU),Medicine,1.33,2020-2021,1st,,1,2020,34223,34223,0,0,34223,Medicine,Other,low,0,0
221,Stanford University (SU),Physics,1.67,2020-2021,1st,VPGE fellowship stipend for 2020-2021,1,2020,48100,48100,0,0,48100,PhysicsAndAstronomy,PhysicsAndAstronomy,low,0,0
