,University,Department,LW_Ratio,Academic_Year,Program_Year,Comments,PY_DR,Acad_Y,Overall_Pay_num,GrossPay_12M,GrossPay_9M,GrossPay_3M,GrossPay_sumOf3,Dep_DR,Dep_DR_top14,GP9_binary,MissingFees_DR,Fees_correct
4762,Emory University,Physics ,1.12,2017-2018,1st,,1,2017,25982,27000,0,0,27000,PhysicsAndAstronomy,PhysicsAndAstronomy,low,1018,1018
4763,University of Texas - Austin (UT),Institute for Neuroscience,1.23,2016-2017,3rd,,3,2016,28000,28000,0,0,28000,Institute for Neuroscience,Other,low,0,0
4764,University of Cincinnati (UC),Internal Medicine,2.51,2016-2017,3rd,,3,2016,48474,48474,0,0,48474,Internal Medicine,Other,low,0,0
4765,Arizona State University (ASU),Engineering ,1.35,2017-2018,1st,,1,2017,30000,30000,0,0,30000,Engineering ,Other,low,0,0
4766,Princeton University,Chemical Engineering,1.42,2017-2018,1st,,1,2017,36150,36150,0,0,36150,Engineering,Engineering,low,0,0
4768,Yale University (YU),Comparative Literature,1.25,2017-2018,1st,,1,2017,31000,31000,0,0,31000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0
4769,University of Pennsylvania,Psychology - Clinical,1.33,2017-2018,1st,,1,2017,32000,32000,0,0,32000,Psychology - Clinical,Other,low,0,0
4770,University of Notre Dame (ND),Philosophy,1.66,2017-2018,1st,,1,2017,34000,34000,0,0,34000,ArtsAndTheology,ArtsAndTheology,low,0,0
4771,Mississippi State University (MSU),Anthropology,0.37,2016-2017,1st,The university waives 71% in-state tuition and 100% out-of-state tuition. You have to pay for university fees and insurance yourself. The university reimburses you $200 for insurance under a TA/RA position. ,1,2016,8000,0,9000,0,9000,Biology,Biology,high,1000,1000
4773,University of Minnesota - Twin Cities (UM),"Ecology, Evolution and Behaviour",1.05,2015-2016,4th,Includes international student fees,4,2015,24116,25116,0,0,25116,"Ecology, Evolution and Behaviour",Other,low,1000,1000
